Pincode,Neighbourhood,Borough,Latitude,Longitude
560007,Agram,Bangalore South,12.9579166,77.6309117
560092,Amruthahalli,Bangalore North,13.0658792,77.6042056
560024,Anandnagar Bangalore,Bangalore North,13.031328,77.5913132
560045,Arabic College,Bangalore North,13.0303746,77.6211313
560064,Attur,Bangalore North,13.1069615,77.5662992
560047,Austin Town,Bangalore North,12.9587681,77.6159946
560043,Banaswadi,Bangalore North,13.0103761,77.6481944
560001,Bangalore Bazaar,Bangalore North,12.9287983,77.6763815
560103,Bellandur,Bangalore South,12.9298689,77.6848366
560046,Benson Town,Bangalore North,13.0011645,77.5995482
560049,Bhattarahalli,Bangalore North,13.0175283,77.7107665
560063,BSF Campus Yelahanka,Bangalore North,13.1290872,77.6142258
560093,C.V.Raman Nagar,Bangalore North,12.9858672,77.6713031
560025,CMP Centre & School,Bangalore North,12.9575889,77.6115464
560067,Devanagundi,Bangalore South,12.9815433,77.8310398
560036,Devasandra,Bangalore North,13.0027035,77.7015664
560077,Doddagubbi,Bangalore North,13.0714911,77.674249
560037,Doddanekkundi,Bangalore North,12.9715583,77.6941613
560071,Domlur,Bangalore North,12.9532958,77.6408123
560016,Doorvaninagar,Bangalore North,13.0029587,77.6677669
560005,Fraser Town,Bangalore North,12.9979887,77.6226512
560065,G.K.V.K.,Bangalore North,13.0935798,77.5778529
560087,Gunjur,Bangalore North,12.921337,77.7340046
560008,H.A.L II Stage,Bangalore North,12.9673053,77.6433089
560051,H.K.P. Road,Bangalore North,12.988632,77.6026928
560048,Hoodi,Bangalore North,12.9899646,77.713301
560038,Indiranagar Bangalore,Bangalore North,12.9783459,77.6407867
560094,ISRO Anthariksha Bhavan,Bangalore North,13.0352366,77.5709624
560006,J.C.Nagar,Bangalore North,13.0081816,77.5948946
560075,Jeevanbhimanagar,Bangalore North,12.964163,77.658076
560084,Lingarajapuram,Bangalore North,13.0146034,77.627147
560033,Maruthi Sevanagar,Bangalore North,12.9983172,77.6408671
560017,NAL,Bangalore North,12.9599163,77.6498458
560032,P&T Col. Kavalbyrasandra,Bangalore North,13.0297992,77.6047037
560080,Sadashivanagar,Bangalore North,13.010303,77.5796019
560042,Sivan Chetty Gardens,Bangalore North,12.9827745,77.6130519
560066,Whitefield,Bangalore South,12.9698066,77.7499632
560030,Adugodi,Bangalore South,12.9441502,77.607623
560034,Agara,Bangalore South,12.9230648,77.6464534
560050,Ashoknagar Bangalore,Bangalore South,12.9369685,77.5608672
560070,B Sk II Stage,Bangalore South,12.9248711,77.5662406
560085,Banashankari III Stage,Bangalore South,12.9306048,77.5433739
560002,Bangalore Corporation Building,Bangalore South,12.9607769,77.5842372
560076,Bannerghatta Road,Bangalore South,12.8843232,77.5963737
560083,Bannerghatta,Bangalore South,12.800285,77.5770474
560004,Basavanagudi,Bangalore South,12.9437506,77.5737598
560068,Begur,Bangalore South,12.8787673,77.6376676
560056,Bnagalore Viswavidalaya,Bangalore South,12.9388374,77.5144948
560082,Bolare,Bangalore South,12.7540646,77.4847203
560099,Bommasandra Industrial Estate,Bangalore South,12.8159214,77.6793813
560035,Carmelram,Bangalore South,12.9074674,77.6954719
560018,Chamrajpet Bangalore,Bangalore South,12.9569886,77.5637328
560053,Chickpet,Bangalore South,12.9693159,77.5730698
560061,Chikkalasandra,Bangalore South,12.9120815,77.5462476
560060,Chudenapura,Bangalore South,12.9152972,77.4816021
560026,Deepanjalinagar,Bangalore South,12.9643779,77.5588947
560029,Dharmaram College,Bangalore South,12.9365451,77.6025534
560062,Doddakallasandra,Bangalore South,12.8806617,77.5575804
560100,Electronics City,Bangalore South,12.8498481,77.6544856
560019,Gaviopuram Extension,Bangalore South,12.9477234,77.5569265
560102,HSR Layout,Bangalore South,12.911862,77.6445923
560078,J P Nagar,Bangalore South,12.898773,77.5764094
560041,Jayanagar,Bangalore South,12.9217081,77.5936183
560011,Jayangar III Block,Bangalore South,12.9329463,77.5838692
560095,Koramangala VI Bk,Bangalore South,12.9383219,77.619135
560074,Kumbalagodu,Bangalore South,12.8794008,77.4451317
560039,Nayandahalli,Bangalore South,12.9445624,77.5252997
560098,Rajarajeshwarinagar,Bangalore South,12.9155497,77.5134699
560059,Rv Niketan,Bangalore South,12.9248111,77.4994673
560027,Sampangiramnagar,Bangalore South,12.99368,77.5746756
560109,Thalaghattapura,Bangalore South,12.8690867,77.534158
560073,Bagalgunte,Bangalore North,13.052706,77.4954875
560009,Bangalore Dist Offices Bldg,Bangalore North,12.9736337,77.5801146
560091,Bapagrama,Bangalore North,12.9986822,77.4572897
560079,Basaveshwaranagar,Bangalore North,12.9879576,77.5374662
560040,Chandra Lay Out,Bangalore North,12.9544586,77.5227546
560021,Gayathrinagar,Bangalore North,13.0007302,77.557643
560104,Hampinagar,Bangalore North,12.9621342,77.5375636
560010,Industrial Estate Bangalore,Bangalore North,12.977625,77.5511424
560014,Jalahalli East,Bangalore North,13.0733626,77.5463603
560013,Jalahalli,Bangalore North,13.0503355,77.5529007
560015,Jalahalli West,Bangalore North,13.0625679,77.5284047
560058,Laggere,Bangalore North,13.0097647,77.5253962
560023,Magadi Road,Bangalore North,12.9754815,77.5540233
560086,Mahalakshmipuram Layout,Bangalore North,13.0145937,77.5514047
560003,Malleswaram,Bangalore North,13.0019142,77.5713364
560055,Malleswaram West,Bangalore North,13.0078444,77.557663
560054,Mathikere,Bangalore North,13.0346622,77.5572053
560072,Nagarbhavi,Bangalore North,12.9719249,77.512809
560096,Nandinilayout,Bangalore North,13.015811,77.5390237
560057,Peenya Dasarahalli,Bangalore North,13.0458075,77.5110614
560012,Science Institute,Bangalore North,13.0214516,77.5671844
560020,Seshadripuram,Bangalore North,12.9889216,77.5740957
560090,Tarabanahalli,Bangalore North,13.0862953,77.4973109
560097,Vidyaranyapura,Bangalore North,13.0809029,77.5564981
560022,Yeshwanthpur Bazar,Bangalore North,13.0205281,77.5546449
562149,Bagalur Bangalore,Bangalore North,13.151285,77.668837
562157,Bettahalsur,Bangalore North,13.1623413,77.609935
562130,Chikkanahalli,Bangalore South,12.8812885,77.3549396
562162,Dasanapura,Bangalore North,13.0650166,77.4316379
